SkillUID|SkillCode|SkillClassUID|SkillName|SkillCategoryName|SkillLabel|SkillDesc|SkillTagList|OtherFlag
"TE0001"|"TE0001"|"TECHNOLOGY"|"Alation Data Catalog"|"Alation"|"Alation Data Catalog"|""|"alation, data catalog"|0
"TE0002"|"TE0002"|"TECHNOLOGY"|"AWS Data Pipeline"|"Amazon AWS"|"AWS Data Pipeline"|""|"aws, aws data pdipeline"|0
"TE0003"|"TE0003"|"TECHNOLOGY"|"AWS EC2"|"Amazon AWS"|"AWS EC2 (VM)"|""|"aws, ec2, cloud vm"|0
"TE0004"|"TE0004"|"TECHNOLOGY"|"AWS Elastic Map Reduce (EMR)"|"Amazon AWS"|"AWS Elastic Map Reduce (EMR)"|""|"aws, elastic map reduce, emr"|0
"TE0005"|"TE0005"|"TECHNOLOGY"|"AWS Glue"|"Amazon AWS"|"AWS Glue"|""|"aws glue"|0
"TE0006"|"TE0006"|"TECHNOLOGY"|"AWS Lambda"|"Amazon AWS"|"AWS Lambda"|""|"aws lambda"|0
"TE0007"|"TE0007"|"TECHNOLOGY"|"AWS RDS (Database)"|"Amazon AWS"|"AWS RDS (Database)"|""|"aws rds (database)"|0
"TE0008"|"TE0008"|"TECHNOLOGY"|"AWS Redshift"|"Amazon AWS"|"AWS Redshift"|""|"aws redshift"|0
"TE0009"|"TE0009"|"TECHNOLOGY"|"AWS S3 (Storage)"|"Amazon AWS"|"AWS S3 (Storage)"|""|"aws s3 (storage)"|0
"TE0010"|"TE0010"|"TECHNOLOGY"|"Apache Atlas (Data Governace)"|"Apache"|"Apache Atlas (Data Governace)"|""|"apache atlas (data governace)"|0
"TE0011"|"TE0011"|"TECHNOLOGY"|"Apache Cassandra"|"Apache"|"Apache Cassandra"|""|"apache cassandra"|0
"TE0012"|"TE0012"|"TECHNOLOGY"|"Apache CouchDB"|"Apache"|"Apache CouchDB"|""|"apache couchdb"|0
"TE0013"|"TE0013"|"TECHNOLOGY"|"Apache Flume"|"Apache"|"Apache Flume"|""|"apache flume"|0
"TE0014"|"TE0014"|"TECHNOLOGY"|"Apache Hadoop HDFS"|"Apache"|"Apache Hadoop HDFS"|""|"apache hadoop hdfs"|0
"TE0015"|"TE0015"|"TECHNOLOGY"|"Apache Hadoop Security"|"Apache"|"Apache Hadoop Security"|""|"apache hadoop security"|0
"TE0016"|"TE0016"|"TECHNOLOGY"|"Apache Hbase"|"Apache"|"Apache Hbase"|""|"apache hbase"|0
"TE0017"|"TE0017"|"TECHNOLOGY"|"Apache Hive"|"Apache"|"Apache Hive"|""|"apache hive"|0
"TE0018"|"TE0018"|"TECHNOLOGY"|"Apache Impala"|"Apache"|"Apache Impala"|""|"apache impala"|0
